lang,id,created_at,text
en,1330970942605041665,2020-11-23T20:26:15.000Z,Telecare just confirmed for me that the wait time for a call back from the Saint John Covid assessment centre is LONGER than the 24-48 hour window promised when you request a test. There is no revised timeline. This is important information that was impossible to find publicly.
en,1330970941329838081,2020-11-23T20:26:15.000Z,@ProgPoker @AnthonySabatini Private companies can do what they want. You don’t have the right to fly. I can lose my job if I don’t get the flu shot so I’m sure it’ll be the same for covid.
en,1330970940570824704,2020-11-23T20:26:15.000Z,"Deluxe Two Button Folding Walker with 5” Wheels 
Deluxe Folding Walker combines strength and durability with lightweight ease of use. 
Shop NOW==&gt; https://t.co/132IUNfzLr
#Deluxe #Covid19 #TWOButton #Folding #Durable #lightweight #ShopNOW #Comfortable #FolderWalker  #Omni https://t.co/RRPIwjPC46"
en,1330970940562403332,2020-11-23T20:26:15.000Z,"become member of COVID-19 Community Champions in Dudley Borough . have been helping people throughout the COVID -19 pandemic. I continuing to support the local community again, just as did during the spring. Champions can be anyone in the community. 
#dudleydailypause https://t.co/68dyvCqF14"
en,1330970940554047490,2020-11-23T20:26:15.000Z,South Florida family sues Publix over father's Covid-19 death after he was prohibited from wearing a mask at work https://t.co/gy6bq9Ysxs
en,1330970940243644417,2020-11-23T20:26:15.000Z,"@WNEP Covid 19 &lt;---- Just a means to control for the Democrat globalists. 

The recent comments coming from Trudeau, Lightfoot and the president of WHO proves this is all bullsh!t and millions are falling for it.

I certainly don't trust anything coming from this freak show."
en,1330970940080074752,2020-11-23T20:26:15.000Z,@CurtisHouck How much more depressed will you be when a family member dies of Covid they contracted at your Thanksgiving get together?
en,1330970938368798720,2020-11-23T20:26:14.000Z,Turkey announced a record number of deaths from the coronavirus https://t.co/VnlxWCMKks
en,1330970937546731525,2020-11-23T20:26:14.000Z,I better not catch covid
en,1330970937370533888,2020-11-23T20:26:14.000Z,Gov. Brown says people should call police on COVID-19 violators https://t.co/xU4dIfAUYK
